course_number,title,tags,notes,is_corecs,is_advancedcs,is_secondary,is_programming1,is_programming2,is_formalreasoning,is_complimitations,is_algorithms,is_intermediatealgorithms,is_systems,is_computationandtheworld,is_ai,is_probability,is_linearalgebra,is_discretemath
AC215,"Topics in Applied Computation: Advanced Practical Data Science, MLOps","corecs, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC221,Critical Thinking in Data Science,"corecs, computationandtheworld, secondary",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AC295 / CS2871r (Fall 2021 only),Deep Learning for NLP,"corecs, computationandtheworld, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AIT Algorithms and Data Structures (Study Abroad),,"corecs, formalreasoning, algorithms, intermediatealgorithms, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AIT Deep learning (Study Abroad),,"corecs, computationandtheworld, ai, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
AIT Theory of Computing (Study Abroad),,"corecs, formalreasoning, complimitations, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AM106,Applied Algebra,corecs,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AM107,Graph Theory and Combinatorics,"corecs, formalreasoning, discretemath, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
AM115,Mathematical Modeling,"corecs, computationandtheworld",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AM120,Applied Linear Algebra and Big Data,corecs,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AM121,Introduction to Optimization: Models and Methods,corecs,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AM158 / ES158,Introduction to Optimal Control and Estimation,corecs,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AM207,"Stochastic Methods for Data Analysis, Inference and Optimization",corecs,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AM21A,Mathematical Methods in the Sciences,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AM220,Geometric Methods for Machine Learning,"corecs, formalreasoning, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
