concentration,track,total_courses,required_courses,tutorials,thesis,other_notes
African and African American Studies,African Studies Track — Basic Requirements,12 courses (48 credits),"AFRAMER 11, AFRAMER 10, two African language courses, pre-20th century African history course, five African Studies courses.","AFRAMER 97 sophomore, AFRAMER 98A junior.",None.,
African and African American Studies,African Studies Track — Honors Requirements,12-14 courses (48-56 credits),"Same as Basic, plus AFRAMER 99 senior year.","AFRAMER 97 sophomore, AFRAMER 98A junior, AFRAMER 99 senior.",Required for high/highest honors.,
African and African American Studies,African Studies Track — Joint Requirements,8 courses including thesis (32 credits),"AFRAMER 11, pre-20th century African history, two African language courses.","AFRAMER 97 sophomore, AFRAMER 98A or allied junior tutorial, AFRAMER 99 if primary.",Required.,
African and African American Studies,African American Studies Track — Basic Requirements,12 courses (48 credits),"AFRAMER 10, AFRAMER 11, 18th/19th-century African American history course, seven additional courses.","AFRAMER 97 sophomore, AFRAMER 98 junior.",None.,
African and African American Studies,African American Studies Track — Honors Requirements,12-14 courses (48-56 credits),"Same as Basic, plus AFRAMER 99.","AFRAMER 97, AFRAMER 98, AFRAMER 99 senior.",Required.,
African and African American Studies,African American Studies Track — Joint Requirements,8 courses (32 credits),"AFRAMER 10, 18th/19th-century African American history course, two related courses.","AFRAMER 97, AFRAMER 98 or allied tutorial, AFRAMER 99 if primary.",Required.,
African and African American Studies,Afro-Latin American and Caribbean Studies Track — Basic Requirements,12 courses (48 credits),"AFRAMER 10, AFRAMER 11, AFRAMER 148 or equivalent, three Afro-Latin American/Caribbean courses, four electives.","AFRAMER 97 sophomore, AFRAMER 98 junior.",None.,
African and African American Studies,Afro-Latin American and Caribbean Studies Track — Honors Requirements,12-14 courses,"Same as Basic, plus AFRAMER 99.","AFRAMER 97, AFRAMER 98, AFRAMER 99 senior.",Required.,
Anthropology,Archaeology Track — Basic Requirements,10 courses (40 credits),"GENED 1105 (archaeological method/theory), five Archaeology courses, one Social Anthropology course, one human evolution course.","ANTHRO 97X sophomore, ANTHRO 98A junior.",None.,
Anthropology,Archaeology Track — Honors Requirements,12 courses (48 credits),"GENED 1105, four Archaeology courses, graduate research seminar, one Social Anthropology, one human evolution course.","ANTHRO 97X sophomore, ANTHRO 98A and 98B junior, ANTHRO 99 senior.","Required, with oral examination.",
Anthropology,Social Anthropology Track — Basic Requirements,10 courses (40 credits),"ANTHRO 1610, four Social Anthropology courses, two Anthropology courses (at least one Archaeology), one related course.","ANTHRO 97Z sophomore, ANTHRO 98A junior.",None.,
Anthropology,Social Anthropology Track — Honors Requirements,12 courses (48 credits),Same as Basic.,"ANTHRO 97Z sophomore, ANTHRO 98A junior, ANTHRO 99 senior.",Required.,
Anthropology,Combined Archaeology and Social Anthropology — Basic Requirements,10 courses (40 credits),"GENED 1105, ANTHRO 1610, one Archaeology, one Social Anthropology, one Arch or SocAnth, one related course.","ANTHRO 97X and ANTHRO 97Z sophomore, ANTHRO 98A junior.",Not required.,
Anthropology,Anthropology and Medicine Track — Basic Requirements,12 courses (48 credits),"ANTHRO 1610, two Medical Anthropology courses, one Social Anthropology, one Arch or History of Science, one Archaeology, four medical sciences courses.","ANTHRO 97Z sophomore, ANTHRO 98A junior.",None.,
Applied Mathematics,Standard — Concentration Requirements,14-15 courses depending on starting math level,"MATH 21A, MATH 21B or equivalents (Foundation); APMTH 10 or COMPSCI 50 (Computation); STAT 110 or MATH 154 (Probability/Statistics); five Breadth courses from 8 categories; five Application courses in chosen domain.",None required.,"Optional; required for high/highest honors via APMTH 91R, APMTH 99R or APMTH 115 (A-).",No joint concentrations permitted. Plan of Study required.
"Art, Film, and Visual Studies",Basic Requirements,11 courses (44 credits),"AFVS 70, one introductory studio/production course (AFVS 10/11/12/20/30/32), one 100-level art history course, six AFVS electives, AFVS 97.",AFVS 97 junior tutorial.,None.,
"Art, Film, and Visual Studies",Honors Requirements,13 courses (52 credits),"Same as Basic, plus AFVS 99 two-term thesis.",AFVS 97 junior tutorial.,Required (AFVS 99 two terms).,
Astrophysics,Standard — Concentration Requirements,12 courses (48 credits),"ASTRON 16, ASTRON 17, PHYSICS 15A, PHYSICS 15B, PHYSICS 15C, MATH 21A, MATH 21B, ASTRON 98 (research tutorial), two additional astronomy courses, two astronomy/related field courses.",ASTRON 98 junior spring required.,Optional (honors students may write thesis).,
Biomedical Engineering,A.B. Requirements,14 courses (56 credits),"MATH 21A, MATH 21B, PHYSCI 2, PHYSCI 3 or PHYSICS 15A/15B, LS 1A or LPS A, CHEM 17 or CHEM 20, BIOPHYS 101 or BME 210, BME 60, BME 130, two BME concentration electives, two ENG-SCI courses.",None formally required.,Optional for A.B.,
Biomedical Engineering,S.B. Requirements,18 courses (72 credits),"Same as A.B. plus additional math, physics, and BME courses.",None formally required.,Required for honors S.B.,
Chemical and Physical Biology,Basic Requirements,13 courses (52 credits),"LS 1A or LPS A, CHEM 17 and CHEM 27 or CHEM 20 and CHEM 30, MATH 21A, MATH 21B, PHYSCI 12A or PHYSICS 15A, CPB 100, three CPB/approved electives, one advanced CPB seminar or lab.",CPB junior tutorial.,Optional for Basic.,
Chemical and Physical Biology,Honors Requirements,15 courses (60 credits),Same as Basic.,CPB junior tutorial.,Required (CPB 99 two terms).,
Chemistry,Basic Requirements,12-14 courses (48-56 credits),"CHEM 10 or equivalent, CHEM 40 (inorganic), CHEM 20 and CHEM 30 or equivalents (organic), two physical chemistry courses from CHEM 160/161/163/166, CHEM 100R/135/145/165 (advanced lab), one biology-oriented chemistry course, MATH 21A, two physics courses.",None formally required.,Optional for Basic.,
Chemistry,Honors Requirements,14-16 courses (56-64 credits),Same as Basic.,None formally required.,Required (CHEM 99 two terms).,
Chemistry and Physics,Honors-Only Concentration Requirements,15-16 courses (60-64 credits),"CHEM 10 or equivalent, CHEM 20, CHEM 30 (organic), PHYSICS 15A/15B/15C or equivalents, MATH 21A, MATH 21B, MATH 112 or MATH 113, CHEM 160 and CHEM 161 or CHEM 163 (physical chem), two advanced physics courses, two electives.",Junior tutorial in Physics or Chemistry.,Required (CP 99 two terms).,
Classics,Classical Languages and Literatures Track — Basic Requirements,11 courses (44 credits),"Latin or Greek through 100-level, survey of Greek or Roman literature, six Classics/ancient history/ancient philosophy electives.","CLASSIC 97 sophomore, CLASSIC 98 junior.",None.,
Classics,Classical Languages and Literatures Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"CLASSIC 97 sophomore, CLASSIC 98 junior, CLASSIC 99 senior.",Required.,
Classics,Classical Civilizations Track — Basic Requirements,11 courses (44 credits),"Two language courses (Greek or Latin), one survey course, six electives in classical civilization/archaeology/ancient philosophy/history.","CLASSIC 97 sophomore, CLASSIC 98 junior.",None.,
