requirement_category,requirement_name,required_count,credits,applies_to,course_type_or_options,can_double_count,grading_requirement,notes
General Education,Aesthetics & Culture,1 course,4 credits,All Harvard College students,One Gen Ed course in Aesthetics & Culture,May not overlap with another Gen Ed category,"Beginning Class of 2029: must be letter-graded; Classes through 2028 may take one Gen Ed pass/fail with instructor permission",One of four required General Education perspectives
General Education,Ethics & Civics,1 course,4 credits,All Harvard College students,One Gen Ed course in Ethics & Civics,May not overlap with another Gen Ed category,"Beginning Class of 2029: must be letter-graded; Classes through 2028 may take one Gen Ed pass/fail with instructor permission",One of four required General Education perspectives
General Education,"Histories, Societies, Individuals",1 course,4 credits,All Harvard College students,"One Gen Ed course in Histories, Societies, Individuals",May not overlap with another Gen Ed category,"Beginning Class of 2029: must be letter-graded; Classes through 2028 may take one Gen Ed pass/fail with instructor permission",One of four required General Education perspectives
General Education,Science & Technology in Society,1 course,4 credits,All Harvard College students,One Gen Ed course in Science & Technology in Society,May not overlap with another Gen Ed category,"Beginning Class of 2029: must be letter-graded; Classes through 2028 may take one Gen Ed pass/fail with instructor permission",One of four required General Education perspectives
Divisional Distribution,Arts & Humanities,1 course,4 credits,Students graduating May 2020 or later,One departmental non-Gen Ed course in Arts & Humanities,Cannot also count toward QRD requirement,Usually letter-graded depending on course rules,Part of the three FAS/SEAS distribution divisions
Divisional Distribution,Social Sciences,1 course,4 credits,Students graduating May 2020 or later,One departmental non-Gen Ed course in Social Sciences,Cannot also count toward QRD requirement,Usually letter-graded depending on course rules,Part of the three FAS/SEAS distribution divisions
Divisional Distribution,Science & Engineering and Applied Science,1 course,4 credits,Students graduating May 2020 or later,One departmental non-Gen Ed course in Science & Engineering and Applied Science,Cannot also count toward QRD requirement,Usually letter-graded depending on course rules,Part of the three FAS/SEAS distribution divisions
Quantitative Reasoning with Data,QRD,1 course,4 credits,All Harvard College students,One course satisfying Quantitative Reasoning with Data,Cannot also count toward Divisional Distribution,Usually letter-graded depending on course rules,Introduces mathematical statistical and computational methods for thinking critically about data
Writing,Expository Writing,1 course,4 credits,First-year students,One semester course through the Harvard College Writing Program,Can satisfy Writing only,Must be letter-graded,Focuses on analytic composition and revision in small seminars
Language,Language Requirement,2 courses or test placement equivalent,Varies,All Harvard College students,"Language other than English taught at Harvard or available by appropriate examination",Can satisfy language requirement only,Foreign language requirements can only be satisfied by letter-graded courses,"If unmet after second term, advising hold is placed during registration until student plans completion with advisor"
Graduation Credits,Total Credits,128 credits,128 credits,All Harvard College students,All completed degree-applicable coursework,N/A,N/A,Total credits required to graduate
Course Grading,Letter-Graded Credits,84 credits minimum; 96 credits for honors,84 or 96 credits,All Harvard College students,"Courses completed with letter grade C- or higher; SAT may count as the only non-letter grade exception",N/A,"84 letter-graded credits required; 96 letter-graded credits required for degree with honors",Students must meet FAS satisfactory letter-graded credit rules
Course Grading,Per-Term FAS Letter-Graded Course,At least 1 course per term,4 credits minimum per term,All Harvard College students,At least one letter-graded course offered by FAS each term,N/A,Must be letter-graded,Applies each term students enroll in courses for credit
Course Grading,First-Year and Sophomore Letter-Graded Load,At least 3 letter-graded courses per term,12 credits minimum per term,First-year students and sophomores,Ordinarily at least three 4-credit letter-graded courses each term,N/A,Must be letter-graded,Ordinary rule for first-year students and sophomores
